#options: 960x540 fps=24000/1001 timebase=1001/24000 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=12 lookahead_threads=4 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=23 scenecut=40 intra_refresh=0 rc_lookahead=50 rc=abr mbtree=1 bitrate=260 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:91 out:92 type:b dur:2 cpbdur:2 q:38.57 aq:37.51 tex:123 mv:1252 misc:897 imb:3 pmb:219 smb:1818 d:- ref:0 ;
in:96 out:93 type:P dur:2 cpbdur:2 q:38.28 aq:32.27 tex:12561 mv:5436 misc:1923 imb:85 pmb:746 smb:1209 d:s ref:0 ;
in:94 out:94 type:B dur:2 cpbdur:2 q:38.49 aq:38.74 tex:298 mv:1663 misc:879 imb:5 pmb:199 smb:1836 d:s ref:0 ;
in:93 out:95 type:b dur:2 cpbdur:2 q:38.60 aq:30.00 tex:37 mv:1149 misc:798 imb:3 pmb:171 smb:1866 d:t ref:0 ;
in:95 out:96 type:b dur:2 cpbdur:2 q:38.39 aq:35.59 tex:95 mv:837 misc:692 imb:0 pmb:133 smb:1907 d:- ref:0 ;
in:100 out:97 type:P dur:2 cpbdur:2 q:37.80 aq:30.71 tex:16973 mv:6310 misc:1981 imb:103 pmb:916 smb:1021 d:s ref:0 ;
in:98 out:98 type:B dur:2 cpbdur:2 q:38.04 aq:33.10 tex:251 mv:1850 misc:955 imb:6 pmb:220 smb:1814 d:s ref:0 ;
in:97 out:99 type:b dur:2 cpbdur:2 q:38.16 aq:29.00 tex:36 mv:1089 misc:771 imb:2 pmb:156 smb:1882 d:s ref:0 ;
in:99 out:100 type:b dur:2 cpbdur:2 q:37.92 aq:38.01 tex:124 mv:1188 misc:928 imb:2 pmb:227 smb:1811 d:- ref:0 ;
in:104 out:101 type:P dur:2 cpbdur:2 q:37.59 aq:30.78 tex:16655 mv:6274 misc:2015 imb:111 pmb:909 smb:1020 d:s ref:0 ;
in:102 out:102 type:B dur:2 cpbdur:2 q:37.70 aq:35.07 tex:290 mv:1863 misc:967 imb:5 pmb:229 smb:1806 d:s ref:0 ;
in:101 out:103 type:b dur:2 cpbdur:2 q:37.75 aq:28.47 tex:50 mv:1058 misc:748 imb:0 pmb:153 smb:1887 d:t ref:0 ;
in:103 out:104 type:b dur:2 cpbdur:2 q:37.64 aq:29.57 tex:131 mv:1009 misc:828 imb:3 pmb:183 smb:1854 d:- ref:0 ;
in:108 out:105 type:P dur:2 cpbdur:2 q:37.29 aq:30.59 tex:19859 mv:6408 misc:1933 imb:113 pmb:961 smb:966 d:s ref:0 ;
in:106 out:106 type:B dur:2 cpbdur:2 q:37.44 aq:33.49 tex:218 mv:1891 misc:947 imb:8 pmb:207 smb:1825 d:s ref:0 ;
